poem	emotion1	emotion2
Es ist ein Weinen in der Welt	Sadness	Sadness
Als ob der liebe Gott gestorben wär,	Sadness	Sadness
Und der bleierne Schatten, der niederfällt,	Sadness	Sadness
Lastet grabesschwer.	Sadness	Sadness
Komm, wir wollen uns näher verbergen?	Sadness	Sadness
Das Leben liegt in aller Herzen	Sadness	Sadness
Du! wir wollen uns tief küssen	Sadness	Sadness
Es pocht eine Sehnsucht an die Welt	Sadness	Uneasiness
An der wir sterben müssen.	Sadness	Sadness
Der Mond tritt aus der gelben Wolkenwand.	Uneasiness	Uneasiness
Die Irren hängen an den Gitterstäben	Uneasiness	Uneasiness
Wie große Spinnen, die an Mauern kleben.	Uneasiness	Uneasiness
Entlang den Gartenzaun fährt ihre Hand.	Uneasiness	Uneasiness
In offnen Sälen sieht man Tänzer schweben.	Uneasiness	Suspense
Der Ball der Irren ist es. Plötzlich schreit	Uneasiness	Suspense
Der Wahnsinn auf. Das Brüllen pflanzt sich weit,	Uneasiness	Suspense
Daß alle Mauern von dem Lärme beben.	Uneasiness	Suspense
Mit dem er eben über Hume gesprochen,	Sadness	Humor
Den Arzt ergreift ein Irrer mit Gewalt.	Sadness	Humor
Er liegt im Blut. Sein Schädel ist zebrochen.	Sadness	Uneasiness
Der Haufe Irrer schaut vergnügt. Doch bald	Sadness	Uneasiness
Enthuschen sie, da fern die Peitsche knallt,	Sadness	Uneasiness
Den Mäusen gleich, die in die Erde krochen.	Sadness	Uneasiness
O, der Wahnsinn der großen Stadt, da am Abend	Uneasiness	Uneasiness
An schwarzer Mauer verkrüppelte Bäume starren,	Uneasiness	Uneasiness
 Aus silberner Maske der Geist des Bösen schaut;	Uneasiness	Uneasiness
Licht mit magnetischer Geißel die steinerne Nacht verdrängt.	Uneasiness	Beauty / Joy
O, das versunkene Läuten der Abendglocken.	Uneasiness	Beauty / Joy
Hure, die in eisigen Schauern ein totes Kindlein gebärt.	Uneasiness	Uneasiness
Rasend peitscht Gottes Zorn die Stirne der Besessenen,	Uneasiness	Uneasiness
Purpurne Seuche, Hunger, der grüne Augen zerbricht.	Uneasiness	Uneasiness
O, das gräßliche Lachen des Golds.	Uneasiness	Uneasiness
Aber stille blutet in dunkler Höhle stummere Menschheit,	Uneasiness	Uneasiness
Fügt aus harten Metallen das erlösende Haupt.	Uneasiness	Uneasiness
In einem alten Buche stieß ich auf ein Wort,	Awe / Sublime	Suspense
Das traf mich wie ein Schlag und brennt durch meine Tage fort:	Awe / Sublime	Suspense
Und wenn ich mich an trübe Lust vergebe,	Awe / Sublime	Awe / Sublime
Schein, Lug und Spiel zu mir anstatt des Wesens hebe,	Awe / Sublime	Awe / Sublime
Wenn ich gefällig mich mit raschem Sinn belüge,	Awe / Sublime	Awe / Sublime
Als wäre Dunkles klar, als wenn nicht Leben tausend wild verschloßne Tore trüge,	Awe / Sublime	Awe / Sublime
Und Worte wiederspreche, deren Weite nie ich ausgefühlt,	Awe / Sublime	Awe / Sublime
Und Dinge fasse, deren Sein mich niemals aufgewühlt,	Awe / Sublime	Awe / Sublime
Wenn mich willkommner Traum mit Sammethänden streicht,	Awe / Sublime	Awe / Sublime
Und Tag und Wirklichkeit von mir entweicht,	Awe / Sublime	Awe / Sublime
Der Welt entfremdet, fremd dem tiefsten Ich,	Awe / Sublime	Awe / Sublime
Dann steht das Wort mir auf: Mensch, werde wesentlich!	Awe / Sublime	Suspense
Der Himmel, groß, voll herrlicher Verhaltung,	Awe / Sublime	Awe / Sublime
ein Vorrat Raum, ein Übermaß von Welt.	Awe / Sublime	Awe / Sublime
Und wir, zu ferne für die Angestaltung,	Awe / Sublime	Sadness
zu nahe für die Abkehr hingestellt.	Awe / Sublime	Sadness
Da fällt ein Stern! Und unser Wunsch an ihn,	Beauty / Joy	Suspense
bestürzten Aufblicks, dringend angeschlossen:	Sadness	Suspense
Was ist begonnen, und was ist verflossen?	Sadness	Beauty / Joy
Was ist verschuldet? Und was ist verziehn?	Sadness	Beauty / Joy
Und frische Nahrung, neues Blut	Vitality	Beauty / Joy
Saug? ich aus freyer Welt;	Vitality	Beauty / Joy
Wie ist Natur so hold und gut,	Vitality	Beauty / Joy
Die mich am Busen hält!	Vitality	Beauty / Joy
Die Welle wieget unsern Kahn	Beauty / Joy	Beauty / Joy
Im Rudertakt hinauf,	Beauty / Joy	Beauty / Joy
Und Berge, wolkig himmelan,	Beauty / Joy	Beauty / Joy
Begegnen unserm Lauf.	Beauty / Joy	Beauty / Joy
Aug?, mein Aug?, was sinkst du nieder?	Vitality	Sadness
Goldne Träume kommt ihr wieder?	Vitality	Sadness
Weg, du Traum! so Gold du bist;	Vitality	Vitality
Hier auch Lieb? und Leben ist.	Vitality	Vitality
Auf der Welle blinken	Beauty / Joy	Beauty / Joy
Tausend schwebende Sterne,	Beauty / Joy	Beauty / Joy
Weiche Nebel trinken	Beauty / Joy	Beauty / Joy
Rings die thürmende Ferne;	Beauty / Joy	Beauty / Joy
Morgenwind umflügelt	Beauty / Joy	Beauty / Joy
Die beschattete Bucht,	Beauty / Joy	Beauty / Joy
Und im See bespiegelt	Beauty / Joy	Beauty / Joy
Sich die reifende Frucht.	Beauty / Joy	Beauty / Joy
Sah ein Knab? ein Röslein stehn,	Suspense	Beauty / Joy
Röslein auf der Heiden,	Suspense	Beauty / Joy
War so jung und morgenschön,	Suspense	Beauty / Joy
Lief er schnell es nah zu sehn,	Suspense	Beauty / Joy
Sah?s mit vielen Freuden.	Suspense	Beauty / Joy
Röslein, Röslein, Röslein roth,	Suspense	Beauty / Joy
Röslein auf der Heiden.	Suspense	Beauty / Joy
Knabe sprach: ich breche dich,	Beauty / Joy	Suspense
Röslein auf der Heiden!	Beauty / Joy	Suspense
Röslein sprach: ich steche dich,	Beauty / Joy	Beauty / Joy
Daß du ewig denkst an mich,	Beauty / Joy	Beauty / Joy
Und ich will?s nicht leiden.	Beauty / Joy	Beauty / Joy
Röslein, Röslein, Röslein roth,	Beauty / Joy	Beauty / Joy
Röslein auf der Heiden.	Beauty / Joy	Beauty / Joy
Und der wilde Knabe brach	Beauty / Joy	Sadness
?s Röslein auf der Heiden;	Beauty / Joy	Sadness
Röslein wehrte sich und stach,	Beauty / Joy	Sadness
Half ihm doch kein Weh und Ach,	Beauty / Joy	Sadness
Mußt? es eben leiden.	Beauty / Joy	Sadness
Röslein, Röslein, Röslein roth,	Beauty / Joy	Sadness
Röslein auf der Heiden.	Beauty / Joy	Sadness
Es sang vor langen Jahren	Beauty / Joy	Beauty / Joy
Wohl auch die Nachtigall,	Beauty / Joy	Beauty / Joy
Das war wohl süßer Schall,	Beauty / Joy	Beauty / Joy
Da wir zusammen waren.	Beauty / Joy	Beauty / Joy
Ich sing' und kann nicht weinen,	Beauty / Joy	Sadness
Und spinne so allein	Beauty / Joy	Sadness
Den Faden klar und rein	Beauty / Joy	Sadness
So lang der Mond wird scheinen.	Beauty / Joy	Sadness
Als wir zusammen waren	Sadness	Sadness
Da sang die Nachtigall	Sadness	Sadness
Nun mahnet mich ihr Schall	Sadness	Sadness
Daß du von mir gefahren.	Sadness	Sadness
So oft der Mond mag scheinen,	Sadness	Sadness
Denk' ich wohl dein allein.	Sadness	Sadness
Mein Herz ist klar und rein,	Sadness	Sadness
Gott wolle uns vereinen.	Sadness	Sadness
Seit du von mir gefahren,	Sadness	Sadness
Singt stets die Nachtigall,	Sadness	Sadness
Ich denk' bei ihrem Schall,	Sadness	Sadness
Wie wir zusammen waren.	Sadness	Sadness
Gott wolle uns vereinen	Sadness	Sadness
Hier spinn'ich so allein,	Sadness	Sadness
Der Mond scheint klar und rein,	Sadness	Sadness
Ich sing' und möchte weinen.	Sadness	Sadness
In einem kühlen Grunde	Beauty / Joy	Sadness
Da geht ein Mühlenrad,	Beauty / Joy	Sadness
Mein Liebste ist verschwunden,	Sadness	Sadness
Die dort gewohnet hat.	Sadness	Sadness
Sie hat mir Treu versprochen,	Sadness	Sadness
Gab mir ein'n Ring dabei,	Sadness	Sadness
Sie hat die Treu gebrochen,	Sadness	Sadness
Mein Ringlein sprang entzwei.	Sadness	Sadness
Ich möcht als Spielmann reisen	Vitality	Vitality
Weit in die Welt hinaus,	Vitality	Vitality
Und singen meine Weisen,	Vitality	Vitality
Und gehn von Haus zu Haus.	Vitality	Vitality
Ich möcht als Reiter fliegen	Vitality	Vitality
Wohl in die blut'ge Schlacht,	Vitality	Vitality
Um stille Feuer liegen	Vitality	Vitality
Im Feld bei dunkler Nacht.	Vitality	Vitality
Hör ich das Mühlrad gehen:	Sadness	Sadness
Ich weiß nicht, was ich will -	Sadness	Sadness
Ich möcht am liebsten sterben,	Sadness	Sadness
Da wär's auf einmal still!	Sadness	Sadness
Ännchen von Tharau ist's die mir gefällt,	Beauty / Joy	Beauty / Joy
Sie ist mein Leben, mein Gut und mein Geld.	Beauty / Joy	Beauty / Joy
Ännchen von Tharau hat wieder ihr Herz	Beauty / Joy	Beauty / Joy
Auf mich gerichtet, in Lieb und in Schmerz	Beauty / Joy	Beauty / Joy
Ännchen von Tharau, mein Reichtum, mein Gut,	Beauty / Joy	Beauty / Joy
Du meine Seele, mein Fleisch und mein Blut.	Beauty / Joy	Beauty / Joy
Käm' alles Wetter gleich auf uns zu schlah'n	Beauty / Joy	Beauty / Joy
Wir sind gesinnt, beieinander zu stah'n.	Beauty / Joy	Beauty / Joy
Krankheit, Verfolgung, Betrübnis und Pein	Beauty / Joy	Beauty / Joy
Soll unsrer Liebe Verknotigung sein.	Beauty / Joy	Beauty / Joy
Ännchen von Tharau, mein Reichtum, mein Gut,	Beauty / Joy	Beauty / Joy
Du meine Seele, mein Fleisch und mein Blut.	Beauty / Joy	Beauty / Joy
Recht als ein Palmbaum über sich steigt,	Beauty / Joy	Beauty / Joy
Je mehr ihn Hagel und Regen angreift:	Beauty / Joy	Beauty / Joy
So werd' die Lieb in uns mächtig und groß,	Beauty / Joy	Vitality
Durch Kreuz, durch Leiden, durch allerlei Not.	Beauty / Joy	Vitality
Ännchen von Tharau, mein Reichtum, mein Gut,	Beauty / Joy	Beauty / Joy
Du meine Seele, mein Fleisch und mein Blut.	Beauty / Joy	Beauty / Joy
Würdest du gleich einmal von mir getrennt,	Beauty / Joy	Beauty / Joy
Lebtest da, wo man die Sonne kaum kennt:	Beauty / Joy	Beauty / Joy
Ich will dir folgen, durch Wälder, durch Meer,	Beauty / Joy	Vitality
Durch Eis, durch Eisen, durch feindliches Heer.	Beauty / Joy	Vitality
Ännchen von Tharau, mein' Sonne, mein Schein,	Beauty / Joy	Beauty / Joy
Mein Leben schließ' ich in deines hinein	Beauty / Joy	Beauty / Joy
Ich weiß nicht was soll es bedeuten,	Sadness	Sadness
Dass ich so traurig bin;	Sadness	Sadness
Ein Märchen aus uralten Zeiten,	Sadness	Suspense
Das kommt mir nicht aus dem Sinn.	Sadness	Suspense
Die Luft ist kühl und es dunkelt,	Beauty / Joy	Beauty / Joy
Und ruhig fließt der Rhein;	Beauty / Joy	Beauty / Joy
Der Gipfel des Berges funkelt	Beauty / Joy	Beauty / Joy
Im Abendsonnenschein.	Beauty / Joy	Beauty / Joy
Die schönste Jungfrau sitzet	Beauty / Joy	Beauty / Joy
Dort oben wunderbar;	Beauty / Joy	Beauty / Joy
Ihr goldnes Geschmeide blitzet,	Beauty / Joy	Beauty / Joy
Sie kämmt ihr goldenes Haar.	Beauty / Joy	Beauty / Joy
Sie kämmt es mit goldenem Kamme	Beauty / Joy	Beauty / Joy
Und singt ein Lied dabei;	Beauty / Joy	Beauty / Joy
Das hat eine wundersame,	Beauty / Joy	Beauty / Joy
Gewaltige Melodei.	Beauty / Joy	Beauty / Joy
Den Schiffer im kleinen Schiffe	Suspense	Beauty / Joy
Ergreift es mit wildem Weh;	Suspense	Beauty / Joy
Er schaut nicht die Felsenriffe,	Suspense	Beauty / Joy
Er schaut nur hinauf in die Höh.	Suspense	Beauty / Joy
Ich glaube, die Wellen verschlingen	Sadness	Beauty / Joy
Am Ende Schiffer und Kahn;	Sadness	Beauty / Joy
Und das hat mit ihrem Singen	Sadness	Beauty / Joy
Die Lore-Ley getan.	Sadness	Beauty / Joy
Schläft ein Lied in allen Dingen,	Awe / Sublime	Awe / Sublime
Die da träumen fort und fort,	Awe / Sublime	Awe / Sublime
Und die Welt hebt an zu singen,	Awe / Sublime	Awe / Sublime
Triffst du nur das Zauberwort.	Awe / Sublime	Awe / Sublime
Augen, meine lieben Fensterlein,	Beauty / Joy	Beauty / Joy
Gebt mir schon so lange holden Schein,	Beauty / Joy	Beauty / Joy
Lasset freundlich Bild um Bild herein:	Beauty / Joy	Beauty / Joy
Einmal werdet ihr verdunkelt sein!	Beauty / Joy	Uneasiness
Fallen einst die müden Lider zu,	Sadness	Beauty / Joy
Löscht ihr aus, dann hat die Seele Ruh;	Sadness	Beauty / Joy
Tastend streift sie ab die Wanderschuh',	Sadness	Beauty / Joy
Legt sich auch in ihre finstre Truh.	Sadness	Beauty / Joy
Noch zwei Fünklein sieht sie glimmend stehn,	Sadness	Beauty / Joy
Wie zwei Sternlein innerlich zu sehn,	Sadness	Beauty / Joy
Bis sie schwanken und dann auch vergehn,	Sadness	Beauty / Joy
Wie von eines Falters Flügelwehn.	Sadness	Beauty / Joy
Doch noch wandl' ich auf dem Abendfeld,	Vitality	Beauty / Joy
Nur dem sinkenden Gestirn gesellt;	Vitality	Beauty / Joy
Trinkt, o Augen, was die Wimper hält,	Vitality	Beauty / Joy
Von dem goldnen Überfluß der Welt!	Vitality	Beauty / Joy
Dem Bürger fliegt vom spitzen Kopf der Hut,	Uneasiness	Humor
In allen Lüften hallt es wie Geschrei.	Uneasiness	Uneasiness
Dachdecker stürzen ab und gehn entzwei	Uneasiness	Uneasiness
Und an den Küsten ? liest man ? steigt die Flut.	Uneasiness	Uneasiness
Der Sturm ist da, die wilden Meere hupfen	Uneasiness	Beauty / Joy
An Land, um dicke Dämme zu zerdrücken.	Uneasiness	Beauty / Joy
Die meisten Menschen haben einen Schnupfen.	Uneasiness	Humor
Die Eisenbahnen fallen von den Brücken.	Uneasiness	Uneasiness
Ein haar so kühnlich trotz der Berenice spricht	Beauty / Joy	Beauty / Joy
Ein mund / der rosen führt und perlen in sich heget	Beauty / Joy	Beauty / Joy
Ein zünglein / so ein gifft vor tausend hertzen träget	Beauty / Joy	Beauty / Joy
Zwo brüste / wo rubin durch alabaster bricht	Beauty / Joy	Beauty / Joy
Ein hals / der schwanen-schnee weit weit zurücke sticht	Beauty / Joy	Beauty / Joy
Zwey wangen / wo die pracht der Flora sich beweget	Beauty / Joy	Beauty / Joy
Ein blick / der blitze führt und männer niederleget	Beauty / Joy	Beauty / Joy
Zwey armen / derer krafft offt leuen hingericht	Beauty / Joy	Beauty / Joy
Ein hertz / aus welchem nichts als mein verderben quillet	Beauty / Joy	Sadness
Ein wort / so himmlisch ist / und mich verdammen kan	Beauty / Joy	Sadness
Zwey hände / derer grimm mich in den bann gethan	Beauty / Joy	Sadness
Und durch ein süsses gifft die seele selbst umhüllet	Beauty / Joy	Beauty / Joy
Ein zierrath / wie es scheint / im paradieß gemacht	Beauty / Joy	Beauty / Joy
Hat mich um meinen witz und meine freyheit bracht.	Beauty / Joy	Beauty / Joy
Minden ist eine feste Burg,	Humor	Vitality
Hat gute Wehr und Waffen!	Humor	Vitality
Mit preußischen Festungen hab ich jedoch	Humor	Vitality
Nicht gerne was zu schaffen.	Humor	Vitality
Wir kamen dort an zur Abendzeit.	Suspense	Uneasiness
Die Planken der Zugbrück' stöhnten	Suspense	Uneasiness
So schaurig, als wir hinübergerollt;	Suspense	Uneasiness
Die dunklen Gräben gähnten.	Suspense	Uneasiness
Die hohen Bastionen schauten mich an,	Uneasiness	Uneasiness
So drohend und verdrossen;	Uneasiness	Uneasiness
Das große Tor ging rasselnd auf,	Uneasiness	Uneasiness
Ward rasselnd wieder geschlossen.	Uneasiness	Uneasiness
Ach! meine Seele ward betrübt,	Sadness	Sadness
Wie des Odysseus Seele,	Sadness	Sadness
Als er gehört, daß Polyphem	Sadness	Sadness
Den Felsblock schob vor die Höhle.	Sadness	Sadness
Es trat an den Wagen ein Korporal	Suspense	Suspense
Und frug uns: wie wir hießen?	Suspense	Suspense
»Ich heiße Niemand, bin Augenarzt	Suspense	Suspense
Und steche den Star den Riesen.«	Suspense	Suspense
Im Wirtshaus ward mir noch schlimmer zumut,	Sadness	Sadness
Das Essen wollt mir nicht schmecken.	Sadness	Sadness
Ging schlafen sogleich, doch schlief ich nicht,	Sadness	Sadness
Mich drückten so' schwer die Decken.	Sadness	Sadness
Es war ein breites Federbett,	Beauty / Joy	Beauty / Joy
Gardinen von rotem Damaste,	Beauty / Joy	Beauty / Joy
Der Himmel von verblichenem Gold,	Beauty / Joy	Beauty / Joy
Mit einem schmutzigen Quaste.	Beauty / Joy	Beauty / Joy
Verfluchter Quast! der die ganze Nacht	Humor	Uneasiness
Die liebe Ruhe mir raubte!	Humor	Uneasiness
Er hing mir, wie des Damokles Schwert,	Uneasiness	Uneasiness
So drohend über dem Haupte!	Uneasiness	Uneasiness
Schien manchmal ein Schlangenkopf zu sein,	Uneasiness	Uneasiness
Und ich hörte ihn heimlich zischen:	Uneasiness	Uneasiness
»Du bist und bleibst in der Festung jetzt,	Uneasiness	Uneasiness
Du kannst nicht mehr entwischen!«	Uneasiness	Uneasiness
»Oh, daß ich wäre« ? seufzte ich ?,	Sadness	Sadness
»Daß ich zu Hause wäre,	Sadness	Sadness
Bei meiner lieben Frau in Paris,	Sadness	Sadness
Im Faubourg Poissonnière!«	Sadness	Sadness
Ich fühlte, wie über die Stirne mir	Uneasiness	Uneasiness
Auch manchmal etwas gestrichen,	Uneasiness	Uneasiness
Gleich einer kalten Zensorhand,	Uneasiness	Uneasiness
Und meine Gedanken wichen ?	Uneasiness	Uneasiness
Gendarmen in Leichenlaken gehüllt,	Uneasiness	Uneasiness
Ein weißes Spukgewirre,	Uneasiness	Uneasiness
Umringte mein Bett, ich hörte auch	Uneasiness	Uneasiness
Unheimliches Kettengeklirre.	Uneasiness	Uneasiness
Ach! Die Gespenster schleppten mich fort,	Uneasiness	Uneasiness
Und ich hab mich endlich befunden	Uneasiness	Uneasiness
An einer steilen Felsenwand;	Uneasiness	Uneasiness
Dort war ich festgebunden.	Uneasiness	Uneasiness
Der böse schmutzige Betthimmelquast!	Humor	Humor
Ich fand ihn gleichfalls wieder,	Uneasiness	Uneasiness
Doch sah er jetzt wie ein Geier aus,	Uneasiness	Uneasiness
Mit Krallen und schwarzem Gefieder.	Uneasiness	Uneasiness
Er glich dem preußischen Adler jetzt,	Uneasiness	Uneasiness
Und hielt meinen Leib umklammert;	Uneasiness	Uneasiness
Er fraß mir die Leber aus der Brust,	Uneasiness	Uneasiness
Ich habe gestöhnt und gejammert.	Uneasiness	Uneasiness
Ich jammerte lange ? da krähte der Hahn,	Humor	Sadness
Und der Fiebertraum erblaßte.	Humor	Sadness
Ich lag zu Minden im schwitzenden Bett,	Humor	Sadness
Der Adler ward wieder zum Quaste.	Humor	Humor
Ich reiste fort mit Extrapost,	Beauty / Joy	Beauty / Joy
Und schöpfte freien Odem	Beauty / Joy	Beauty / Joy
Erst draußen in der freien Natur,	Beauty / Joy	Beauty / Joy
Auf bückeburg'schem Boden.	Beauty / Joy	Beauty / Joy
Mit einem Dach und seinem Schatten dreht	Beauty / Joy	Beauty / Joy
sich eine kleine Weile der Bestand	Beauty / Joy	Beauty / Joy
von bunten Pferden, alle aus dem Land,	Beauty / Joy	Beauty / Joy
das lange zögert, eh es untergeht.	Beauty / Joy	Beauty / Joy
Zwar manche sind an Wagen angespannt,	Beauty / Joy	Beauty / Joy
doch alle haben Mut in ihren Mienen;	Beauty / Joy	Beauty / Joy
ein böser roter Löwe geht mit ihnen	Beauty / Joy	Beauty / Joy
und dann und wann ein weißer Elefant.	Beauty / Joy	Beauty / Joy
Sogar ein Hirsch ist da, ganz wie im Wald,	Beauty / Joy	Beauty / Joy
nur dass er einen Sattel trägt und drüber	Beauty / Joy	Beauty / Joy
ein kleines blaues Mädchen aufgeschnallt.	Beauty / Joy	Beauty / Joy 
Und auf dem Löwen reitet weiß ein Junge	Beauty / Joy	Beauty / Joy
und hält sich mit der kleinen heißen Hand	Beauty / Joy	Beauty / Joy
dieweil der Löwe Zähne zeigt und Zunge.	Beauty / Joy	Beauty / Joy
Und dann und wann ein weißer Elefant.	Beauty / Joy	Beauty / Joy
Und auf den Pferden kommen sie vorüber,	Beauty / Joy	Beauty / Joy
auch Mädchen, helle, diesem Pferdesprunge	Beauty / Joy	Beauty / Joy
fast schon entwachsen; mitten in dem Schwunge	Beauty / Joy	Beauty / Joy
schauen sie auf, irgendwohin, herüber -	Beauty / Joy	Beauty / Joy
Und dann und wann ein weißer Elefant.	Beauty / Joy	Beauty / Joy
Und das geht hin und eilt sich, dass es endet,	Vitality	Beauty / Joy
und kreist und dreht sich nur und hat kein Ziel.	Vitality	Beauty / Joy
Ein Rot, ein Grün, ein Grau vorbeigesendet,	Vitality	Beauty / Joy
ein kleines kaum begonnenes Profil -.	Vitality	Beauty / Joy
Und manchesmal ein Lächeln, hergewendet,	Vitality	Beauty / Joy
ein seliges, das blendet und verschwendet	Vitality	Beauty / Joy
an dieses atemlose blinde Spiel...	Vitality	Beauty / Joy
Die Masten ragen an dem grauen Wall	Uneasiness	Uneasiness
Wie ein verbrannter Wald ins frühe Rot,	Uneasiness	Uneasiness
So schwarz wie Schlacke. Wo das Wasser tot	Uneasiness	Uneasiness
Zu Speichern stiert, die morsch und im Verfall.	Uneasiness	Uneasiness
Dumpf tönt der Schall, da wiederkehrt die Flut,	Uneasiness	Vitality
Den Kai entlang. Der Stadtnacht Spülicht treibt	Uneasiness	Vitality
Wie eine weiße Haut im Strom und reibt	Uneasiness	Vitality
Sich an dem Dampfer, der im Docke ruht.	Uneasiness	Vitality
Staub, Obst, Papier, in einer dicken Schicht,	Uneasiness	Uneasiness
So treibt der Kot aus seinen Röhren ganz.	Uneasiness	Uneasiness
Ein weißes Tanzkleid kommt, in fettem Glanz	Uneasiness	Uneasiness
Ein nackter Hals und bleiweiß ein Gesicht.	Uneasiness	Uneasiness
Die Leiche wälzt sich ganz heraus. Es bläht	Uneasiness	Uneasiness
Das Kleid sich wie ein weißes Schiff im Wind.	Uneasiness	Uneasiness
Die toten Augen starren groß und blind	Uneasiness	Uneasiness
Zum Himmel, der voll rosa Wolken steht.	Uneasiness	Uneasiness
Das lila Wasser bebt von kleiner Welle.	Uneasiness	Uneasiness
- Der Wasserratten Fährte, die bemannen	Uneasiness	Uneasiness
Das weiße Schiff. Nun treibt es stolz von dannen,	Uneasiness	Uneasiness
Voll grauer Köpfe und voll schwarzer Felle.	Uneasiness	Uneasiness
Die Tote segelt froh hinaus, gerissen	Uneasiness	Uneasiness
Von Wind und Flut. Ihr dicker Bauch entragt	Uneasiness	Uneasiness
Dem Wasser groß, zerhöhlt und fast zernagt.	Uneasiness	Uneasiness
Wie eine Grotte dröhnt er von den Bissen.	Uneasiness	Uneasiness
Sie treibt ins Meer. Ihr salutiert Neptun	Uneasiness	Sadness
Von einem Wrack, da sie das Meer verschlingt,	Uneasiness	Sadness
Darinnen sie zur grünen Tiefe sinkt,	Uneasiness	Sadness
Im Arm der feisten Kraken auszuruhn.	Uneasiness	Sadness
Am Abend, wenn wir auf dunklen Pfaden gehn,	Uneasiness	Suspense
Erscheinen unsere bleichen Gestalten vor uns.	Uneasiness	Suspense
Wenn uns dürstet,	Beauty / Joy	Sadness
Trinken wir die weißen Wasser des Teichs,	Beauty / Joy	Sadness
Die Süße unserer traurigen Kindheit.	Sadness	Sadness
Erstorbene ruhen wir unterm Hollundergebüsch,	Beauty / Joy	Sadness
Schaun den grauen Möven zu.	Beauty / Joy	Sadness
Frühlingsgewölke steigen über die finstere Stadt,	Uneasiness	Sadness
Die der Mönche edlere Zeiten schweigt.	Sadness	Sadness
Da ich deine schmalen Hände nahm	Suspense	Sadness
Schlugst du leise die runden Augen auf,	Suspense	Sadness
Dieses ist lange her.	Sadness	Sadness
Doch wenn dunkler Wohllaut die Seele heimsucht,	Beauty / Joy	Beauty / Joy
Erscheinst du Weiße in des Freundes herbstlicher Landschaft.	Beauty / Joy	Beauty / Joy
Ein dicker Junge spielt mit einem Teich.	Beauty / Joy	Beauty / Joy
Der Wind hat sich in einem Baum gefangen.	Beauty / Joy	Beauty / Joy
Der Himmel sieht verbummelt aus und bleich,	Beauty / Joy	Beauty / Joy
Als wäre ihm die Schminke ausgegangen.	Beauty / Joy	Beauty / Joy
