poem	emotion1	emotion2
since feeling is first	Sadness	Sadness
who pays any attention	Sadness	Sadness
to the syntax of things	Sadness	Sadness
will never wholly kiss you;	Sadness	Sadness
wholly to be a fool	Sadness	Sadness
while Spring is in the world	Sadness	Sadness
my blood approves	Beauty / Joy	Beauty / Joy
and kisses are a better fate	Beauty / Joy	Beauty / Joy
than wisdom	Beauty / Joy	Beauty / Joy
lady i swear by all flowers. Don"t cry	Beauty / Joy	Beauty / Joy
—the best gesture of my brain is less than	Beauty / Joy	Beauty / Joy
your eyelids" flutter which says	Beauty / Joy	Beauty / Joy
we are for each other: then	Beauty / Joy	Beauty / Joy
laugh, leaning back in my arms	Beauty / Joy	Beauty / Joy
for life"s not a paragraph	Beauty / Joy	Awe / Sublime
and death i think is no parenthesis	Sadness	Awe / Sublime
How do I love thee? Let me count the ways.	Beauty / Joy	Beauty / Joy
I love thee to the depth and breadth and height	Beauty / Joy	Beauty / Joy
My soul can reach, when feeling out of sight	Beauty / Joy	Beauty / Joy
For the ends of being and ideal grace.	Beauty / Joy	Beauty / Joy
I love thee to the level of every day"s	Beauty / Joy	Beauty / Joy
Most quiet need, by sun and candle-light.	Beauty / Joy	Beauty / Joy
I love thee freely, as men strive for right.	Beauty / Joy	Beauty / Joy
I love thee purely, as they turn from praise.	Beauty / Joy	Beauty / Joy
I love thee with the passion put to use	Beauty / Joy	Beauty / Joy
In my old griefs, and with my childhood"s faith.	Beauty / Joy	Beauty / Joy
I love thee with a love I seemed to lose	Beauty / Joy	Beauty / Joy
With my lost saints. I love thee with the breath,	Beauty / Joy	Beauty / Joy
Smiles, tears, of all my life; and, if God choose,	Beauty / Joy	Beauty / Joy
I shall but love thee better after death.	Beauty / Joy	Beauty / Joy
I wonder, by my troth, what thou and I	Beauty / Joy	Beauty / Joy
Did, till we loved? Were we not weaned till then?	Beauty / Joy	Beauty / Joy
But sucked on country pleasures, childishly?	Beauty / Joy	Beauty / Joy
Or snorted we in the Seven Sleepers’ den?	Beauty / Joy	Beauty / Joy
’Twas so; but this, all pleasures fancies be.	Beauty / Joy	Beauty / Joy
If ever any beauty I did see,	Beauty / Joy	Beauty / Joy
Which I desired, and got, ’twas but a dream of thee.	Beauty / Joy	Beauty / Joy
